[2026-04-11 13:16:31] INFO | IP: 127.0.0.1 | User: guest | /NovaFlow/login: [post] /login from 127.0.0.1 | Context: "request"
[2026-04-11 13:17:12] INFO | IP: 127.0.0.1 | User: guest | /NovaFlow/login: [post] /login from 127.0.0.1 | Context: "request"
[2026-04-11 13:17:12] INFO | IP: 127.0.0.1 | User: 1 | /NovaFlow/admin/dashboard: [get] /admin/dashboard from 127.0.0.1 | Context: "request"
[2026-04-11 13:17:27] INFO | IP: 127.0.0.1 | User: 1 | /NovaFlow/admin/dashboard: [get] /admin/dashboard from 127.0.0.1 | Context: "request"
[2026-04-11 13:18:04] INFO | IP: 127.0.0.1 | User: 1 | /NovaFlow/admin/dashboard: [get] /admin/dashboard from 127.0.0.1 | Context: "request"
[2026-04-11 13:18:06] INFO | IP: 127.0.0.1 | User: 1 | /NovaFlow/admin/dashboard: [get] /admin/dashboard from 127.0.0.1 | Context: "request"
[2026-04-11 13:18:13] INFO | IP: 127.0.0.1 | User: 1 | /NovaFlow/admin/dashboard: [get] /admin/dashboard from 127.0.0.1 | Context: "request"
[2026-04-11 13:18:13] INFO | IP: 127.0.0.1 | User: 1 | /NovaFlow/admin/dashboard: [get] /admin/dashboard from 127.0.0.1 | Context: "request"
[2026-04-11 13:18:36] INFO | IP: 127.0.0.1 | User: 1 | /NovaFlow/admin/dashboard: [get] /admin/dashboard from 127.0.0.1 | Context: "request"
[2026-04-11 13:18:46] INFO | IP: 127.0.0.1 | User: 1 | /NovaFlow/admin/dashboard: [get] /admin/dashboard from 127.0.0.1 | Context: "request"
[2026-04-11 13:19:58] INFO | IP: 127.0.0.1 | User: 1 | /NovaFlow/admin/dashboard: [get] /admin/dashboard from 127.0.0.1 | Context: "request"
[2026-04-11 13:22:09] INFO | IP: 127.0.0.1 | User: 1 | /NovaFlow/admin/dashboard: [get] /admin/dashboard from 127.0.0.1 | Context: "request"
[2026-04-11 13:22:10] INFO | IP: 127.0.0.1 | User: 1 | /NovaFlow/admin/dashboard: [get] /admin/dashboard from 127.0.0.1 | Context: "request"
[2026-04-11 13:22:10] INFO | IP: 127.0.0.1 | User: 1 | /NovaFlow/admin/dashboard: [get] /admin/dashboard from 127.0.0.1 | Context: "request"
[2026-04-11 13:24:24] INFO | IP: 127.0.0.1 | User: 1 | /NovaFlow/admin/dashboard: [get] /admin/dashboard from 127.0.0.1 | Context: "request"
[2026-04-11 13:24:36] INFO | IP: 127.0.0.1 | User: 1 | /NovaFlow/admin/settings: [get] /admin/settings from 127.0.0.1 | Context: "request"
[2026-04-11 13:24:38] INFO | IP: 127.0.0.1 | User: 1 | /NovaFlow/admin/dashboard: [get] /admin/dashboard from 127.0.0.1 | Context: "request"
[2026-04-11 13:24:45] INFO | IP: 127.0.0.1 | User: 1 | /NovaFlow/: [get] / from 127.0.0.1 | Context: "request"
[2026-04-11 13:26:29] INFO | IP: 127.0.0.1 | User: 1 | /NovaFlow/docs: [get] /docs from 127.0.0.1 | Context: "request"
[2026-04-11 15:12:32] INFO | IP: 127.0.0.1 | User: 1 | /NovaFlow/admin/dashboard: [get] /admin/dashboard from 127.0.0.1 | Context: "request"
[2026-04-11 15:12:37] INFO | IP: 127.0.0.1 | User: 1 | /NovaFlow/docs: [get] /docs from 127.0.0.1 | Context: "request"
[2026-04-11 15:12:38] INFO | IP: 127.0.0.1 | User: 1 | /NovaFlow/: [get] / from 127.0.0.1 | Context: "request"
[2026-04-11 15:12:59] INFO | IP: 127.0.0.1 | User: 1 | /NovaFlow/docs: [get] /docs from 127.0.0.1 | Context: "request"
[2026-04-11 15:13:01] INFO | IP: 127.0.0.1 | User: 1 | /NovaFlow/: [get] / from 127.0.0.1 | Context: "request"
[2026-04-11 15:13:04] INFO | IP: 127.0.0.1 | User: 1 | /NovaFlow/docs: [get] /docs from 127.0.0.1 | Context: "request"
[2026-04-11 15:16:56] INFO | IP: 127.0.0.1 | User: 1 | /NovaFlow/docs: [get] /docs from 127.0.0.1 | Context: "request"
[2026-04-11 15:19:31] INFO | IP: 127.0.0.1 | User: 1 | /NovaFlow/: [get] / from 127.0.0.1 | Context: "request"
[2026-04-11 15:19:44] INFO | IP: 127.0.0.1 | User: 1 | /NovaFlow/login: [get] /login from 127.0.0.1 | Context: "request"
[2026-04-11 15:19:44] INFO | IP: 127.0.0.1 | User: 1 | /NovaFlow/admin/dashboard: [get] /admin/dashboard from 127.0.0.1 | Context: "request"
[2026-04-11 15:19:55] INFO | IP: 127.0.0.1 | User: 1 | /NovaFlow/admin/settings: [get] /admin/settings from 127.0.0.1 | Context: "request"
[2026-04-11 15:21:07] INFO | IP: 127.0.0.1 | User: 1 | /NovaFlow/admin/settings: [get] /admin/settings from 127.0.0.1 | Context: "request"
[2026-04-11 15:21:59] INFO | IP: 127.0.0.1 | User: 1 | /NovaFlow/admin/settings: [get] /admin/settings from 127.0.0.1 | Context: "request"
[2026-04-11 15:22:36] INFO | IP: 127.0.0.1 | User: 1 | /NovaFlow/admin/settings: [get] /admin/settings from 127.0.0.1 | Context: "request"
[2026-04-11 15:23:16] INFO | IP: 127.0.0.1 | User: 1 | /NovaFlow/admin/settings: [get] /admin/settings from 127.0.0.1 | Context: "request"
[2026-04-11 15:24:22] INFO | IP: 127.0.0.1 | User: 1 | /NovaFlow/admin/settings: [get] /admin/settings from 127.0.0.1 | Context: "request"
[2026-04-11 15:24:25] INFO | IP: 127.0.0.1 | User: 1 | /NovaFlow/admin/dashboard: [get] /admin/dashboard from 127.0.0.1 | Context: "request"
[2026-04-11 15:24:29] INFO | IP: 127.0.0.1 | User: 1 | /NovaFlow/admin/orders?status=pending: [get] /admin/orders from 127.0.0.1 | Context: "request"
[2026-04-11 15:24:32] INFO | IP: 127.0.0.1 | User: 1 | /NovaFlow/admin/dashboard: [get] /admin/dashboard from 127.0.0.1 | Context: "request"
